SAQA Qual ID,QUALIFICATION TITLE,QUALIFICATION TYPE,SAQA LINK,NQF LEVEL,CREDITS,QUALITY PARTNER ,ATTACHMENTS
104798,Aalim,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=104798,NQF Level 6,549,HW SETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/XmJhnkKAIhnQOZMuvCuaIg/Rbu8dbvCO4j6TGilmRGP0Sh46APHqfo_SjXj5wLvKxj-JH2fU7cj0EqV_AV8PTVwQQ7I_j2nxraj7lFgEcoAav-rBaZ9Jq5_sS-IrxyVcu6Z7H9-PqGDrNN92sxQzI5qrFyvjssP2gEQx2HCULaWhyQQME6PD2g0wDKziVOkdoY/gb79NDLMOFGVM_Iu6QQ98QnnfNlShTmDkc8eDl1JLWY),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/gFi7GFHSn-GdTV7aZQaWLg/ZsCf-C3GT1TJse1lqx9T2TUHgSf6DlBVHLp63zXUPx5eiOc0bbwhbodu8l8_71EU-S93msHLlblbyVE-kLXLI39Bv8kgp07xYIkTA0zZn-d5NLA48ZieDu27I2svULcomedBxfMrCuMghqD_k9hKC2IzQgcjmQIlEb_MNmNRESI/cln512Vd_8gZM5-MVaijViDnzLvnZf5vHJsYOik6h3U)"
118695,Abattoir Foreman,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118695,NQF Level 4,165,AgriSETA,"Abattoir Foreman-External Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/InPDDkJYKg14JEC0gVdNcA/7KgpoFehtyRE_DqPjay5JBKC_n6sKSYowpOO3jNxtUz-IJS3lhVD9cQDOpwn6kvBWXXUCPRiRkIieI04eUHzGT5DKbGWf6bgdPptBI1mF980AZ5iD0uaKxvpA_KZHB7lpHI98GA-CRdBYPPAsI4WRU6Xf6NElY53c6dc7wqP_1tmKo_Pd5SXq_Gq9GKkpnW79qqhY05WPS5PzcdKaB0lhQ/WfZXEEYR0qkI17cU6_fipxP2supJaIikFMs0LgUT-iM),Abattoir Foreman-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/8jYvCOi1Bh9M_gZZuxrlZw/mXBFSAqOiPn5H9REAZA6wEzKuheiNG4n3iOVxBImlcemvhkp3jmuc7JLXNO2NvsYVxy1INmZKmu0ueaMx3Ulkesn_N1Z196cQAAO_IX8xbHQl5iuLm1hJ7Gyb6axBA3tsjM1JwlMbJP0AW9x3jFWhOfvfhCfYRNWQMZl-Xo8XrenUOWLsI0anFejU1PJpgK1/Zy0qb2RlyS4ffOrW7B9lAKItfhCWJb4sHIuMT-152ho),OC- Abattoir Foreman.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/HEQvhZ5-v4FmHcs5H0rhXA/gMoFw4RuXY8d_pR2Pr6kyh41f6iWBbh2eKvS8Uvsr7slvPswq2cKzTpL2ZYmIGIYPbRFBb_6-Nu7kbIbFSryxk-hXMEvO1E8bXznF_yjgiVSinW1zyz6bkukU4FlpG0dRxJ96Z6-1vnMejUezHMhNeFyseJIGMvPsL-9_WYEMb0/J36ZOuL3N1mTNDUkhIhvWLTWfOW8aT__rW_dr8hLMzg)"
118696,Abattoir Supervisor ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118696,NQF Level 3 ,64,AGRISETA,"Abattoir Foreman-External Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/suaPtNpnQqWb82sC7bBzyQ/WwL7PbFtk5C7ML4LdLuRpLPGGwr0uhKhXACwXMKkmIQkBgnicVHQyIj3jocijZIQB5TIQfyi0ohZTO9wnYDhWHr5g-8XzuNQ0l1YS0TY0CCiShH-Mzuq4ByVUyMYslBo8nbh0I44bjdcRh5VnT4Nmud_BwcSXzIgNARyxv1EKS80Ui2MtIk8XckrVbEvDmcfdTb_fRO9Pdg0F8RLMTrZKg/IoHOTsgV5He4dNMpAsbjI_gXaUYOimpunUBifSA_AM0),Abattoir Foreman-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/TrEl-_BnGRde1s8v0FhYzg/RuzCJV6c8c9EwiOhvozucZDt1q9_N_aCY1eYg57a8O-v57C-1CAmYmr64TrFxk5UpwnPxv2gNJhVbZl7tksyKf1rTD2RkvsveecokKkBQu9oyC23weASHx7TthNAaGnLVt6-7CvbIjnBMKJ45P74j_wmcl6_09pKf4yUIyfqiPTLndsOwUZXZs7G0eGenx8m/t4Sau1BX4N0NQuMZhuHE_pxvCB5Cd4y3yaVKwXlHSnA),OC- Abattoir Supervisor.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/Mw0Dl5s4CLDwteddZlKzsg/iwtuQMJq0hrpJ9sBMAYNGph74DkmuoNUCu0nJ8Y_nhHc5cNMOPyPv5W8biszM5L5wUjN8Dwgr3loOQEeIlJC5-JyT4wQ7d50_hnAGGnTqN8U_VGvBq9K8O-aX_W6NEleLBXS7wRpS_XNXL3-T5Q-PywOMSy3iQPCDF-0XyGPNyk/5t601TVI52cRJWVpmVgwkFfDkA0goB0c--50wG--sPg)"
118712,Above Surface Cleaner ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118712,NQF Level 1 ,46,SERVICES SETA,"Commercial Cleaner-External Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/_99YjItUhwKCvYoLRhiwGg/wisli7d0JcfWIlxjsny83MxNXT3Bqdiyrs9fwukAlt2pA1e8FOVGUCEVfCqYQvH4MvrXk_9sjPfNdbMxJ10ydAksDRtVFD4rY6DTz5HgAuuFcrhqJV1U2l0oL6L0ckjz3JkkLgOCoMPXlBFj9P9rNvJQDsY-qrDkfT7EdbAJDSz3p1xIuUC_Jex5QTCdbyttRawaI1GXFWmBuDHMisb66w/BN19tfjUAQkqRqMPgODqaYrU0PU7NVrl2zSVOqL0jC0),Commercial Cleaner-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/shVFjtq0MMOpsgSe8gl0kA/v0YF_dNAM4fW7UYLT9YOTwQaseMkx2yjmNL6JPzKtKrn_hxENd3_8ibcHLHfSmhGlM0laQbjZKIUJ4DUiKT-q-hTnXoUBeLVVL6RtOLuuZ0_uOUxo2EXmctUC-3JXBG_HZptaTByVE4cIzVL63zaN7v0uRqDHJU258AHmAjkqgYh4AqvGQd5daKBheg6o7lD/ZyHIJ0BboyfmWl5_azW1PTTgmQ_WqqU-GXfHVJPq8go),Learnership-OC- Above Surface Cleaner NQF Level 1.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/58RFPA27eW8o0JZKvU6-CA/t2P-k61oks0cIu0cCFx23SQFoJrIp4fi4Oy8LM9kC5oNb-3tsuPOSNF_8cUYHXo8SUkNPxxeDEN_Z2NOp23xh3LlYz8GPW0tu5UkK41CnfUbwzHz97p-eabENj31n9JyMFXcrKOfX266K_cNH8MOTXYXbsqJrkNo_W_ZI8ZTDrtybI5SqDTn7062jH1bAWX3/IyK9DexQMqXueROqFZCvagLQxe4ui2RsBSmKJK1S6i0)"
110903,Access Control Officer,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=110903,NQF Level 3 ,25,SASSETA,"Curriculum Docment.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/UHCl7qtSROGredzZAYrMiw/ToirMIHcqNQb5dPfR83bQax1L2KF6LRvq9mEPpVJ6sjjr_0C_jF8zerxxmk4UcADn_VGFQ9GpT2Y3M6nYUe5uHF09jxoLXgOLP2e6YYSg32L3yFKqTkr3xZ0il7f84a0_EMVC79MA3tKfjdhs3M5AB8qsUg-fUdNll9I028vp0o/DZhssajFYyU-VUk0mNZba2TnQgM9FNgmym9N6nOxG6M),External Integrated Summative Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/Phszp0ZzHseN-otD7TGpaA/bHPROCv-IiFUMWSfQv3mRjj-TtkzpaN_cfEzpfE4MWu3pv1umFEEtVTrgmAGJKQzZ40laggKOYrHg27Ck5Hy9ARGvImVQxIR6CDd8GU_Oo7aFinH2qLdpjDb51HwsWANUWgNTaK045rH75lboXbqDFrCwsDnu5O_M1GbnfebCrIUEoMl2gPysUfO8cWM56QIgSxvCGKKqBEFu76wiDlLbQ/zI0DUT1J-n827Q7GlPxGGXiuVBNCDvNKwYQlJ8-hBac)"
118867,Access the Bars Practitioner ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118867,NQF Level 5,56,HWSETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/UcDqwFg85prGSFgdf8Bddg/kQiu36HdqJx6ej3BDGrXJmL2Vbdabseb7_6DsJjYZtIRbebte89MmIHRBlAhgIiVInNSy-YHYZvwd0FDliPCbvBd9RvglsfUMQluZ3V_mmO5Bm7KEEdqAJOHpwPQtMpACOleasNLR1YRFVbrvW7qf1iqcxf9i6OJY5NFOlQ0XRk/t366yXbarxhriTF0XFQIgCg8Pt9zKswBA7k5CKusBTQ),Curriculum Document- Access the bars practitioner-Access the bars practitioner .pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/iTpwhZ8HhqdnKRiEYjGD1g/iSiPmnZwjvwXr4DqU_vknTJyWPYeSTALuUQLpArXVK9XsSKVxiZnYtoqJz1QFQEmZ-9aVS4LwaZ5ubOk9Fpbalam5iVk-qhh7x0b5Ysxs6Z_-Q3UYawiNOUDmyXMOOa_McYns-P1AY0KHlwFDOBXgdqs57RXZwDZoSMLbBg2izdA5hMSQAs_nmGK-cDx4pPQXQv6051L1BpeqlxUBfoX_x-tIwK69yS1FjfrhwSMhZc/FgoZXX_ETzISMmI-t-MklaSVgMCVw3cnK69LscWSinI)"
118119,Adhesive Binding Machine Operator ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118119,NQF Level 3 ,115,Printing SA            FP&MSETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/yQKoFAVH9m7TODPphDVxoA/eQEJJdPZs9KIipsUElxgWm6vYCKvrVVqPr6Lxnkj5OaMgPjLY94-wkLTxOQdArXt8lIBZR4F6jJTw8xuPkcerfVob0cBaWXnJ8nfF7DelGYxcqFV5ekRsGFW9V19znJZbHZ0JPiuXMHR2LH2vY1xJT2CJVFrQWLWs_3CP12mlpU/1zWiMHpfu-Y_-3dDDUE1EsOttmSWZV6wxuv4xbg2FZ4),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/_mE3xKeqRrr88CLRjFp4ww/qAD9NBo2P6hKnidHjKb15pYDZycmVxER-ZNqhUCq_rlGspfWyf68sge_EGVqJPWceSdVyXGzTiDpfHpYn7Lqoau88R1UMM9CA_ilxYJARDOZv4SjPKw6jL65QSVCz5RUswJIOPfF48u5HLUycl0-Y_qOw2JAWDdYmPaIqkWGxOk/V_5Eu46PVCfD1sqZQINjGnLLzE3ndldsy10f2QjDjPA)"
120683,Administrative Attaché,Higher Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=120683,NQF Level 5,130,PSETA,"Administrative Attache-Assessment Specs.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/OzZL6QjStabKq466oxXriw/w6De49wFoyzoFZf93ybQoHO8w5KwQSqLaksjqJ8DmOCgGWYmr9ffG3Fm51mBJjLWp1XCw7QeVMbLevvNK12TTQO-cYyjg9eHBd6qv4GLrhbzEVyT7MEWRsybrUf-SEMQf95LUgKfW3-pgE0-mS57qH-UPDIu9M0zxbRY5mtcV1lPTya2CayiHsuJaqKFLkuZ/xRRLpIEYNwuVZu1O4x5cz3A4hc9uenW1hA8zIgQdvRA),Administrative Attache_Curriculum.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/H0Q8wB4M31A5GSEQOPa5mg/ceOKrqUBttuAX24nh7eF9vcTHVEIBwSMHgZhF40le0NUhFU0dmsj7KKrRWL3XjmyXDnXCIBfVUflF-Rt7UqvXugAsHG0DEmcMiJaGBYuTMKD3ij0xH8Q6dwk3ibk5lKXmUcZJciUhPEacsSCNVCVEKia6xCTr1TCBXOreDEcj0U/oiV15CIW_qnJCrRHyuHRmH7xwnYzm2WJBySz5G3l9Wk)"
101709,Adult Literacy Teacher,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=101709,NQF Level 5,198,ETDP SETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/_Orb0oidVcv1ZNAAEWZtFQ/6zYG9yyZ6qKMTVLI2sOJ7ms0IGOScVLUN_cMx6MZpSEBt8HsLfG5b9iF0Cl8B8HLHM5kxIU2ohnYbSHBzc6ozGYtIr1WhgSO-jz8uDBSyYPAln5bbniNY1IVqSzM3HCNOPDxWrlxIxMrVm7MkuEEXKrauv-TjQBhlPWtaR3z_aY/0h2mPzset7MLldikOTkrGYFAbywV7MhtIpKb7y3w8b0),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/9-MS6symOr8-ve2vDbasPQ/DFuMIyWScVmjUvwV-xsfccjQToKSzSdc6Kk9PjVdCrp8DkamoLo5u2x2sKaMYZtsHX42YW79nAaJLHTGRpdrIJ7wQl5OcpewZ2biITS0SGv3STsquiW-rKBuSsjaOAdwp7d5_DhTYvFuVO7DH0ZZObqnIe0CYdUmuWdjxZ8hNNM/3kSAyWOAQynw8MXfcJkQGsOxbr34zYXGl2DBKEs9HbM),OC Adult Literacy Teacher L5 198.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/MW22lchQ1ee5_UdtBqgWZA/2I35U4pfyQJjlLGV2VJcNd-A49G9Q5AzYoWFxJmkApE3Bon4hoBes7GcZWLSFrw2zEzyM2EW0_YYFK5CcSDFQtVRIi11efhmteghndo9DXyoVaarr22o0yW4izzw8KNFfwGb9aQyaTpn30E4JM-UTGYDVf2C_-NtjD_NCVOxub3BM5UB23iJN1b8Og9U_sYB/Nm0F8zpRwcAfhgGM_DR6RYgsclu4mA9RIGPVo2eCgUE)"
121447,Advertiser,Higher Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=121447,NQF Level 5,120,MICT ,"Assessment Specification Document Advertiser.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/CkxlKESNFZMDZWDfMUjzPg/oh7_earGrauOEhwn8kJOS_poqtjhKqXH3zAbdQ4xKxrEFEeG1mDyEfxDoMkIzLlggDJAAztNDFit2zHt0rX7nOMDe3bpHoj-s8vrrXMguQoQDDYBuQQSpQ_NBYxKOy6V0ml0tImtNlbk6mRLf10mvL_v4a5v1dvitfV3A2yrqal_swhkwK7Y-QvI9xQmOl9ebrtgLnMXrRqwbQyUxQHFLQ/UKwhsKcK1KK6xjb1PxM7xgRFD71TMaLuJG7-4MM8pFc),Curriculum Document Advertiser.pdf (https://v5.airtableusercontent.com/v3/u/47/47/1762387200000/5kaKiOGXdOwdYnh9mskhLA/UywPOczzHQezaBdRm6s9TKNJoSsT5h_0F-_cC8eLLEDuzSC-LwTP9QIw-3IJQ7gL13VPQLS3x0nY-6jSYvTEFCD2hNSOKVTGQaaHTZTbEiB_iRHZtICcAjFm5BiwJfCA8XIMIkI0VDwiJd0o6dGvptIP6Careq5Yx_xBJHBRrLPs_4y1l085ZMSnntxg6RBw/d6SiV-cLZfIDZAw42I_rRYfHKlskOCMUk9W0aINk0O8)"
